"Дата","Регион","Заражений","Выздоровлений","Смертей","Смертей за день","Заражений за день","Выздоровлений за день"
20.09.2020,Челябинская обл.,14997,10982,122,0,69,13
05.07.2020,Дагестан,8132,6124,391,2,52,57
15.01.2021,Волгоградская обл.,39345,37432,531,4,259,261
26.05.2021,Чечня,12241,11983,133,0,10,9
22.11.2020,Коми,19061,14127,306,0,275,317
03.12.2020,Тверская обл.,15781,10940,394,5,213,104
15.08.2021,Кабардино-Балкария,28328,26381,657,0,88,77
13.07.2021,Хабаровский край,59563,54625,540,5,329,202
13.02.2021,Костромская обл.,17723,14708,329,3,58,57
12.04.2020,Краснодарский край,169,25,3,0,31,0
18.04.2021,ХМАО – Югра,55309,53985,788,0,55,56
14.04.2020,Хакасия,20,3,0,0,8,0
30.09.2020,Бурятия,6888,5843,71,3,67,85
21.08.2020,Сахалинская обл.,3867,2180,0,0,56,39
13.08.2020,Адыгея,3055,2479,22,0,20,36
23.04.2021,Ямало-Ненецкий АО,38426,37185,415,1,17,31
31.03.2020,Саха (Якутия),15,0,0,0,0,0
01.06.2020,Магаданская обл.,246,187,3,0,3,1
03.01.2021,Карелия,28613,22407,168,2,342,422
22.09.2021,Рязанская обл.,41256,37775,1063,6,125,96
28.09.2021,Смоленская обл.,49646,44175,1704,9,180,109
28.02.2021,Воронежская обл.,67867,61739,1906,3,295,312
20.12.2020,Мурманская обл.,33110,30309,591,5,283,276
01.11.2021,Новосибирская обл.,71301,53920,3395,15,334,36
06.12.2020,Владимирская обл.,14099,12473,344,0,150,146
08.09.2021,Чечня,21234,19380,536,14,75,146
16.10.2020,Коми,10387,8222,150,4,159,110
01.05.2021,Чувашия,24261,22107,1369,3,50,49
25.06.2020,Марий Эл,2819,2811,21,0,36,53
04.08.2020,Москва,244097,183640,4510,12,691,1456
12.07.2020,Ярославская обл.,5267,4333,22,0,37,20
29.08.2021,Башкортостан,56444,51679,1087,15,300,12
18.08.2021,Приморский край,59173,52573,995,7,247,336
29.03.2021,Саха (Якутия),33513,32383,547,2,26,26
26.01.2021,Камчатский край,11979,10570,84,0,64,62
28.06.2020,Липецкая обл.,3702,2299,15,1,39,51
14.05.2021,Вологодская обл.,45379,42398,1055,2,40,30
07.11.2020,Крым,10700,6365,164,7,206,253
16.01.2021,Северная Осетия,13343,11866,105,0,83,80
29.07.2021,Тюменская обл.,46001,42841,968,8,277,209
15.10.2020,Алтай,4874,3497,12,0,102,64
05.11.2020,Ингушетия,7649,6028,98,1,61,28
27.10.2020,Саратовская обл.,19731,12985,150,1,192,89
21.09.2020,Удмуртия,4408,3292,62,0,81,10
15.10.2021,Ненецкий АО,2504,2348,50,1,16,14
25.08.2021,Омская обл.,70947,59226,1862,9,389,237
28.01.2021,Санкт-Петербург,327160,222012,9571,69,2128,4124
28.07.2021,Тыва,20831,17549,228,0,174,62
15.03.2020,Калмыкия,0,0,0,0,0,0
04.03.2021,Кемеровская обл.,31886,31054,559,0,54,51
19.06.2021,Оренбургская обл.,45588,42080,1060,5,99,67
23.12.2020,Красноярский край,43907,37550,1551,21,331,448
15.12.2020,Нижегородская обл.,61811,55125,1393,13,489,447
16.09.2020,Мордовия,5961,4892,39,0,30,49
29.04.2021,Самарская обл.,61343,58454,1482,6,176,184
10.06.2020,Кировская обл.,2360,1327,22,2,60,109
16.09.2020,Ставропольский край,14070,9752,275,1,137,142
21.09.2021,Томская обл.,42837,36033,559,3,92,72
14.01.2021,Свердловская обл.,64018,56435,1753,20,383,389
12.03.2021,Краснодарский край,40096,34922,2095,13,130,91
17.11.2021,Тамбовская обл.,51930,48822,1279,11,213,291
19.07.2021,Иркутская обл.,80668,70586,3324,35,402,29
23.07.2021,Курская обл.,44918,42423,1050,7,195,98
05.07.2020,Севастополь,245,187,5,0,6,0
02.06.2021,Кировская обл.,44032,41605,369,1,51,48
18.10.2021,Ульяновская обл.,89322,78574,2822,13,364,346
02.11.2021,Ленинградская обл.,79146,60327,2576,4,387,338
18.08.2020,Псковская обл.,4215,3010,60,1,25,39
09.11.2020,Хакасия,8365,5839,87,3,164,28
29.07.2021,Курганская обл.,25506,23303,485,5,130,93
04.09.2020,Брянская обл.,8337,6806,35,0,32,22
15.01.2021,Алтайский край,35950,33147,1019,12,198,105
30.06.2021,Амурская обл.,24090,23213,305,0,83,45
20.09.2021,Белгородская обл.,52110,47936,1103,6,159,17
21.09.2021,Ставропольский край,82680,65694,2774,22,349,54
20.07.2021,Татарстан,23365,20853,583,5,50,39
10.06.2020,Карелия,676,245,2,0,20,7
22.04.2021,Калужская обл.,33627,31701,306,2,57,75
29.09.2020,Ростовская обл.,21740,17125,486,0,190,187
08.07.2020,Чукотский АО,142,137,1,0,1,1
08.10.2021,Пензенская обл.,72654,58167,2901,27,275,75
06.08.2021,Астраханская обл.,45107,37087,1169,10,281,102
01.08.2020,Московская обл.,63598,46826,1109,3,149,173
02.09.2021,Новгородская обл.,40708,37455,373,2,121,99
29.05.2021,Магаданская обл.,8454,8250,109,0,4,4
18.10.2020,Архангельская обл.,16877,10766,271,0,218,12
09.02.2021,Тульская обл.,30416,27830,1094,9,163,178
05.05.2020,Амурская обл.,98,14,1,0,14,0
07.07.2021,Тыва,17265,16467,225,0,125,49
10.04.2020,Ингушетия,29,0,0,0,4,0
18.06.2020,Вологодская обл.,1359,863,15,1,24,38
12.11.2020,Забайкальский край,14444,11139,208,4,255,787
13.12.2020,Орловская обл.,18159,15985,223,0,176,47
21.03.2020,Ярославская обл.,1,0,0,0,0,0
03.04.2021,Ингушетия,15148,13444,181,0,11,18
10.01.2021,Белгородская обл.,23686,20993,280,2,182,75
07.06.2021,Ростовская обл.,95309,86243,4513,6,156,304
02.11.2021,Удмуртия,64531,52892,2657,22,395,571
